600,6,five,ok,two,good,middle_finger,six
0.20481839,0.00201473,0.000123963,0.000160863,-9.21E-09,4.90E-06,2.08E-08,0
0.204072013,0.001998544,0.000105922,0.000156096,-6.96E-09,5.10E-06,1.88E-08,0
0.202988603,0.002097347,9.07E-05,0.000146869,-4.68E-09,5.49E-06,1.63E-08,0
0.201973258,0.002465654,0.000105147,0.000136448,-5.08E-09,6.32E-06,1.55E-08,0
0.200742323,0.003023695,0.000115231,0.000115705,-4.89E-09,6.30E-06,1.24E-08,0
0.214718038,0.008780693,0.000622364,3.68E-05,2.88E-09,2.46E-06,4.77E-09,0
0.208455404,0.008041032,0.000367213,4.20E-05,1.56E-09,3.02E-06,4.97E-09,0
0.204927798,0.007126544,0.000156898,6.79E-05,4.35E-10,5.25E-06,7.00E-09,0
0.203888281,0.00428589,8.89E-05,0.000115035,-3.90E-09,7.33E-06,1.10E-08,0
0.208354264,0.00414164,0.000146337,0.000137952,-1.00E-08,8.81E-06,1.68E-08,0
0.208631191,0.004919474,0.000239577,0.000115263,-7.64E-09,8.03E-06,1.76E-08,0
0.216906537,0.008324109,0.000608989,5.29E-05,1.42E-09,4.13E-06,9.38E-09,0
0.208545623,0.006324837,0.000246044,8.84E-05,-2.58E-09,6.86E-06,1.28E-08,0
0.208316234,0.00684142,0.000247166,7.65E-05,-9.35E-10,5.95E-06,1.05E-08,0
0.206361057,0.007030178,0.000197356,7.13E-05,-3.90E-10,5.44E-06,8.45E-09,0
0.205607205,0.005441187,0.000181699,9.81E-05,-2.62E-09,7.16E-06,1.28E-08,0
0.208745491,0.005985251,0.000322386,8.70E-05,-1.98E-09,6.55E-06,1.44E-08,0
0.209361675,0.006053041,0.00035036,8.68E-05,-1.79E-09,6.55E-06,1.50E-08,0
0.209535327,0.005825861,0.000375402,8.91E-05,-3.27E-09,6.73E-06,1.60E-08,0
0.203874041,0.004826392,0.001519524,0.000118432,4.72E-08,3.15E-06,-1.73E-08,1
0.20333461,0.004755248,0.001447425,0.000114412,4.39E-08,2.94E-06,-1.55E-08,1
0.202183952,0.004541192,0.001294974,0.000114164,4.28E-08,3.43E-06,-9.90E-09,1
0.201580651,0.004538722,0.001222067,0.000111647,4.05E-08,3.48E-06,-7.63E-09,1
0.200741455,0.0043742,0.001109457,0.000114501,4.07E-08,4.07E-06,-3.20E-09,1
0.199623713,0.004203143,0.000980006,0.000118168,4.02E-08,4.84E-06,2.21E-09,1
0.200466435,0.004706314,0.000996796,0.000106987,3.49E-08,3.78E-06,-2.08E-09,1
0.200503904,0.004945201,0.00089155,0.000106063,3.26E-08,3.98E-06,-2.00E-11,1
0.199223049,0.004888411,0.00075715,0.000107085,3.03E-08,4.69E-06,3.64E-09,1
0.199366986,0.005127002,0.000710053,0.000106007,2.88E-08,4.81E-06,4.07E-09,1
0.214828083,0.010538828,0.001408806,5.53E-05,-3.76E-09,-4.77E-06,-1.50E-08,1
0.224493956,0.013835154,0.002052168,7.45E-05,-2.76E-08,-7.05E-06,9.24E-09,1
0.230850116,0.016084805,0.002419731,0.00010362,-2.99E-08,-5.85E-06,4.24E-08,1
0.234819273,0.017454072,0.002725802,0.00013399,-2.24E-08,-3.85E-06,7.78E-08,1
0.240984264,0.019573879,0.003133404,0.000175681,-2.78E-09,-5.07E-07,1.30E-07,1
0.245709975,0.021276494,0.003467893,0.000215439,2.23E-08,2.90E-06,1.85E-07,1
0.237629695,0.017944268,0.00278101,0.00013178,-2.13E-08,-3.72E-06,7.69E-08,1
0.218670321,0.010525438,0.002267219,8.35E-05,-3.12E-08,-8.57E-06,-1.86E-08,1
0.216456762,0.009924901,0.002114565,7.79E-05,-2.52E-08,-7.73E-06,-1.90E-08,1
0.213510488,0.009319942,0.001770417,6.81E-05,-1.24E-08,-6.20E-06,-2.01E-08,1
0.216493348,0.012875593,0.000938345,0.000608163,4.56E-07,6.81E-05,5.24E-08,2
0.216637787,0.012904231,0.000859747,0.000613483,4.43E-07,6.92E-05,4.74E-08,2
0.216742785,0.012628771,0.000864735,0.000636843,4.71E-07,7.13E-05,4.19E-08,2
0.216897219,0.012909423,0.00078217,0.000611109,4.21E-07,6.93E-05,3.45E-08,2
0.216206405,0.012481913,0.000779708,0.000601766,4.11E-07,6.72E-05,2.88E-08,2
0.216835709,0.012997331,0.000701002,0.000579302,3.68E-07,6.60E-05,2.32E-08,2
0.222560788,0.015088911,0.000670351,0.000637961,4.16E-07,7.83E-05,2.72E-08,2
0.222258981,0.015059035,0.000663658,0.000611472,3.89E-07,7.49E-05,1.98E-08,2
0.223400068,0.016090143,0.000536886,0.000549404,2.98E-07,6.92E-05,1.68E-09,2
0.233763542,0.022371203,0.000310693,0.000386053,1.32E-07,5.47E-05,-2.11E-08,2
0.236698835,0.024140272,0.000210443,0.000356556,9.66E-08,5.38E-05,-1.47E-08,2
0.23080378,0.021728504,0.00025078,0.000385478,1.20E-07,5.65E-05,-1.53E-09,2
0.216287154,0.014691346,0.000332996,0.000381365,1.36E-07,4.56E-05,-3.46E-09,2
0.21422247,0.01240348,0.000687289,0.000538719,3.27E-07,6.00E-05,1.93E-08,2
0.216090607,0.013500324,0.000739651,0.000571409,3.70E-07,6.63E-05,2.97E-08,2
0.227405858,0.021571967,0.000209991,0.00025187,5.79E-08,3.69E-05,4.37E-10,2
0.217475648,0.017010348,0.000664452,0.000390972,1.99E-07,5.10E-05,1.12E-08,2
0.215322991,0.014187471,0.001228298,0.000528068,4.25E-07,6.29E-05,2.42E-08,2
0.215631799,0.014583164,0.001111486,0.000485659,3.56E-07,5.85E-05,1.94E-08,2
0.213877274,0.013925498,0.001075809,0.00044002,3.02E-07,5.16E-05,1.40E-08,2
0.208443047,0.010931716,0.001361591,0.000497984,4.10E-07,5.19E-05,1.49E-08,2
0.196310242,0.004394749,0.00258174,0.000128285,-4.80E-08,-8.21E-06,-5.61E-08,3
0.196650853,0.004560373,0.002597513,0.000129457,-4.62E-08,-8.33E-06,-5.92E-08,3
0.197933898,0.005107846,0.00266687,0.000134047,-4.23E-08,-8.78E-06,-6.81E-08,3
0.205002119,0.008030661,0.002841889,0.000148772,-2.87E-08,-1.06E-05,-9.24E-08,3
0.200226766,0.006449084,0.00263711,0.000136258,-4.95E-08,-1.01E-05,-6.50E-08,3
0.185637864,0.001593342,0.001807876,0.000135403,4.07E-08,6.44E-08,-5.32E-08,3
0.183814583,0.001200228,0.0016608,0.000128158,4.07E-08,6.48E-07,-4.29E-08,3
0.196237587,0.005271812,0.002514507,0.00018112,4.96E-08,-2.63E-06,-1.12E-07,3
0.228663035,0.019879571,0.001979236,0.000116493,1.84E-09,6.63E-07,5.59E-08,3
0.237956143,0.024890223,0.001568023,0.000132878,4.05E-08,1.15E-05,4.52E-08,3
0.242396839,0.027821509,0.000861948,6.66E-05,9.92E-09,4.55E-06,1.25E-08,3
0.194791491,0.004428014,0.002321946,0.000113094,-2.89E-08,-6.99E-06,-5.03E-08,3
0.193969886,0.004583904,0.002185301,9.63E-05,-3.20E-08,-6.47E-06,-3.04E-08,3
0.191024448,0.00368197,0.002020838,8.81E-05,-2.63E-08,-5.32E-06,-2.62E-08,3
0.191972181,0.004121493,0.002036006,8.27E-05,-2.83E-08,-5.30E-06,-1.88E-08,3
0.194352162,0.005077974,0.0020863,8.43E-05,-3.04E-08,-6.00E-06,-1.81E-08,3
0.201082394,0.007245985,0.00241152,0.000114731,-2.76E-08,-8.71E-06,-5.36E-08,3
0.202779281,0.008368816,0.002261884,0.000109139,-2.30E-08,-8.70E-06,-4.91E-08,3
0.191738804,0.00170574,0.002494213,0.000188552,7.90E-08,5.05E-07,-1.02E-07,3
0.193128034,0.003478043,0.002337422,0.000131265,7.19E-10,-5.10E-06,-7.27E-08,3
0.211108809,0.010135671,0.004116678,0.000906712,1.72E-06,8.94E-05,3.06E-07,4
0.210483154,0.011201906,0.003455279,0.000818367,1.36E-06,8.49E-05,2.27E-07,4
0.211160342,0.011614692,0.003397196,0.000836043,1.39E-06,8.79E-05,2.47E-07,4
0.212513236,0.012097817,0.003429223,0.00086648,0.000001464,9.20E-05,2.96E-07,4
0.215460398,0.014549347,0.002797896,0.000863287,1.32E-06,0.000100554,2.22E-07,4
0.219064239,0.016095942,0.002858418,0.000961148,1.57E-06,0.000117618,2.42E-07,4
0.223140154,0.017535204,0.003351596,0.001147428,2.24E-06,0.000147044,2.57E-07,4
