400,8,0six,1five,2four,3three,4four,5one
0.225638047,0.006338817,0.000508367,0.000152931,-1.58E-08,1.22E-05,3.96E-08,1
0.226275082,0.006526412,0.000585765,0.000141628,-1.28E-08,1.14E-05,3.87E-08,1
0.2276387,0.006819455,0.000648691,0.000136807,-1.05E-08,1.12E-05,3.94E-08,1
0.227986377,0.006909229,0.000718017,0.000130807,-9.69E-09,1.08E-05,3.89E-08,1
0.227957698,0.007152522,0.000807741,0.000121343,-7.74E-09,1.01E-05,3.72E-08,1
0.228306542,0.007308848,0.000890361,0.000116788,-4.92E-09,9.77E-06,3.73E-08,1
0.228546029,0.007575826,0.000919833,0.000109132,-2.99E-09,9.23E-06,3.44E-08,1
0.228894429,0.007928169,0.000967109,0.000101489,-1.17E-09,8.68E-06,3.18E-08,1
0.229485273,0.008276207,0.000973857,9.43E-05,6.11E-10,8.10E-06,2.86E-08,1
0.229815162,0.008580021,0.000972404,8.97E-05,8.10E-10,7.82E-06,2.65E-08,1
0.229218248,0.008813008,0.000936254,8.02E-05,-1.40E-11,7.12E-06,2.20E-08,1
0.228550811,0.009260957,0.000911776,7.02E-05,-4.40E-10,6.41E-06,1.77E-08,1
0.229098111,0.009554363,0.000905367,6.59E-05,1.60E-10,6.01E-06,1.61E-08,1
0.228184623,0.009999226,0.000859608,5.60E-05,7.48E-10,5.14E-06,1.23E-08,1
0.227713951,0.010371344,0.000837407,4.93E-05,1.25E-09,4.43E-06,9.93E-09,1
0.227981841,0.010900788,0.000811782,4.68E-05,1.74E-09,4.12E-06,8.95E-09,1
0.228184455,0.010971237,0.0008329,4.57E-05,2.40E-09,3.88E-06,8.59E-09,1
0.22745162,0.010624919,0.000854775,4.62E-05,2.94E-09,3.79E-06,8.70E-09,1
0.226269581,0.010187999,0.000786847,5.39E-05,2.04E-09,4.72E-06,1.09E-08,1
0.226126184,0.009443357,0.000753384,7.01E-05,9.55E-10,6.30E-06,1.61E-08,1
0.226383458,0.008779058,0.000699109,8.57E-05,-2.32E-09,7.81E-06,2.08E-08,1
0.225632418,0.008292056,0.000652591,9.76E-05,-5.35E-09,8.84E-06,2.41E-08,1
0.224723273,0.007604322,0.000628998,0.000111277,-8.33E-09,9.70E-06,2.82E-08,1
0.223535417,0.006907936,0.000580999,0.000128637,-1.29E-08,1.06E-05,3.27E-08,1
0.221920207,0.00626604,0.000523271,0.000138839,-1.64E-08,1.07E-05,3.37E-08,1
0.22063047,0.00576251,0.000471616,0.000151098,-1.97E-08,1.07E-05,3.52E-08,1
0.220383117,0.005592731,0.000442055,0.00016308,-2.21E-08,1.12E-05,3.78E-08,1
0.219477553,0.005189824,0.000380638,0.000179513,-2.55E-08,1.12E-05,3.94E-08,1
0.218212417,0.004713487,0.000295297,0.000192424,-2.67E-08,1.06E-05,3.73E-08,1
0.216572819,0.004253814,0.000221994,0.000194804,-2.49E-08,9.42E-06,3.20E-08,1
0.216409497,0.004079887,0.000200305,0.000202517,-2.44E-08,9.31E-06,3.27E-08,1
0.215439882,0.004071691,0.000180897,0.000192366,-2.21E-08,8.86E-06,2.83E-08,1
0.215168468,0.004134856,0.00017963,0.00019007,-2.13E-08,9.24E-06,2.79E-08,1
0.215492303,0.004399545,0.0001993,0.000184146,-2.07E-08,9.95E-06,2.86E-08,1
0.21607767,0.004863235,0.000216475,0.000176568,-2.01E-08,1.08E-05,2.81E-08,1
0.216644512,0.005418623,0.000248171,0.000167777,-1.83E-08,1.14E-05,2.90E-08,1
0.217368619,0.005857079,0.000285814,0.000156308,-1.68E-08,1.13E-05,2.84E-08,1
0.218407886,0.006325975,0.000344044,0.000143848,-1.54E-08,1.11E-05,2.80E-08,1
0.218985445,0.007008422,0.000385931,0.000127637,-1.31E-08,1.05E-05,2.51E-08,1
0.2189784,0.007464703,0.000407691,0.00011213,-1.12E-08,9.56E-06,2.12E-08,1
0.219854627,0.007963922,0.00046262,0.000100094,-8.77E-09,8.90E-06,1.97E-08,1
0.220519352,0.008641757,0.000541625,7.85E-05,-5.17E-09,7.30E-06,1.53E-08,1
0.221253935,0.009515211,0.000610642,5.60E-05,-1.63E-09,5.36E-06,1.02E-08,1
0.222774099,0.010549772,0.000681731,3.80E-05,5.03E-10,3.55E-06,6.09E-09,1
0.225022741,0.011550061,0.000757574,3.03E-05,1.77E-09,2.56E-06,4.23E-09,1
0.226032714,0.011910613,0.000797538,2.78E-05,2.12E-09,2.18E-06,3.54E-09,1
0.22598262,0.011936424,0.000806893,2.63E-05,2.13E-09,2.00E-06,3.17E-09,1
0.225019455,0.011530988,0.000801902,2.68E-05,1.95E-09,2.15E-06,3.42E-09,1
0.222309477,0.010829729,0.000715911,2.77E-05,1.15E-09,2.45E-06,3.72E-09,1
0.220379474,0.009955661,0.000635105,3.98E-05,-4.06E-10,3.84E-06,6.31E-09,1
0.218264773,0.009071859,0.000509951,6.13E-05,-3.31E-09,5.84E-06,1.03E-08,1
0.216103885,0.008324669,0.000416394,7.46E-05,-5.54E-09,6.77E-06,1.19E-08,1
0.214307938,0.007780456,0.000333363,8.44E-05,-7.11E-09,7.30E-06,1.22E-08,1
0.211479893,0.006955342,0.00026342,9.15E-05,-7.92E-09,7.26E-06,1.18E-08,1
0.209949128,0.006298881,0.000205992,0.000108845,-8.89E-09,7.97E-06,1.37E-08,1
0.208780305,0.005644785,0.00017245,0.000126774,-9.39E-09,8.44E-06,1.62E-08,1
0.208017049,0.005117052,0.000151662,0.000139951,-9.64E-09,8.32E-06,1.80E-08,1
0.207148917,0.004668107,0.000143954,0.000146893,-9.77E-09,7.81E-06,1.90E-08,1
0.20680619,0.004321469,0.000136569,0.000149087,-1.03E-08,6.96E-06,1.86E-08,1
